



















Metodo,sizes,nroMatriz,tiempo
G,500,40,1.37561e+08
G,500,40,1.29506e+08
G,500,41,1.54062e+08
G,500,41,1.30883e+08
G,500,41,1.25223e+08
G,500,41,1.28384e+08
G,500,41,1.24977e+08
G,500,41,1.25059e+08
G,500,41,1.23213e+08
G,500,41,1.31069e+08
G,500,41,1.23987e+08
G,500,41,1.28522e+08
G,500,42,1.27325e+08
G,500,42,1.27807e+08
G,500,42,1.27269e+08
G,500,42,1.27898e+08
G,500,42,1.22668e+08
G,500,42,1.29699e+08
G,500,42,1.31239e+08
G,500,42,1.28174e+08
G,500,42,1.25278e+08
G,500,42,1.17743e+08
G,500,43,1.43428e+08
G,500,43,1.625e+08
G,500,43,1.78206e+08
G,500,43,1.42125e+08
G,500,43,1.21158e+08
G,500,43,1.21557e+08
G,500,43,1.21007e+08
G,500,43,1.27307e+08
G,500,43,1.92012e+08
G,500,43,1.66799e+08
G,500,44,1.43095e+08
G,500,44,1.5073e+08
G,500,44,1.57716e+08
G,500,44,1.54832e+08
G,500,44,1.68211e+08
G,500,44,1.24067e+08
G,500,44,1.27877e+08
G,500,44,1.57716e+08
G,500,44,2.14841e+08
G,500,44,1.26256e+08
G,500,45,1.27663e+08
G,500,45,1.27744e+08
G,500,45,1.25151e+08
G,500,45,1.27491e+08
G,500,45,1.26391e+08
G,500,45,1.30561e+08
G,500,45,1.81212e+08
G,500,45,4.49122e+08
G,500,45,4.39833e+08
G,500,45,2.24541e+08
G,500,46,1.5735e+08
G,500,46,1.26661e+08
G,500,46,1.50892e+08
G,500,46,1.33341e+08
G,500,46,1.26071e+08
G,500,46,1.28823e+08
G,500,46,1.25834e+08
G,500,46,1.22744e+08
G,500,46,1.2686e+08
G,500,46,1.5292e+08
G,500,47,1.29729e+08
G,500,47,1.20786e+08
G,500,47,1.22127e+08
G,500,47,1.23018e+08
G,500,47,1.28923e+08
G,500,47,1.23051e+08
G,500,47,1.32852e+08
G,500,47,3.21353e+08
G,500,47,1.2348e+08
G,500,47,1.34561e+08
G,500,48,1.66821e+08
G,500,48,1.71066e+08
G,500,48,2.86974e+08
G,500,48,1.21736e+08
G,500,48,1.28322e+08
G,500,48,1.30323e+08
G,500,48,3.68132e+08
G,500,48,1.21561e+08
G,500,48,2.58616e+08
G,500,48,1.74558e+08
G,500,49,1.2344e+08
G,500,49,2.947e+08
G,500,49,1.44e+08
G,500,49,1.24928e+08
G,500,49,1.25574e+08
G,500,49,1.28917e+08
G,500,49,1.22948e+08
G,500,49,2.32103e+08
G,500,49,1.65724e+08
G,500,49,1.22366e+08
G,600,50,2.50534e+08
G,600,50,4.29945e+08
G,600,50,5.44862e+08
G,600,50,3.74794e+08
G,600,50,4.55381e+08
G,600,50,2.2583e+08
G,600,50,4.13772e+08
G,600,50,2.82274e+08
G,600,50,3.13443e+08
G,600,50,2.62794e+08
G,600,51,2.44822e+08
G,600,51,2.63432e+08
G,600,51,2.26212e+08
G,600,51,2.65487e+08
G,600,51,2.72491e+08
G,600,51,6.15233e+08
G,600,51,2.76825e+08
G,600,51,4.93647e+08
G,600,51,5.10316e+08
G,600,51,4.82373e+08
G,600,52,4.97173e+08
G,600,52,2.89445e+08
G,600,52,4.18989e+08
G,600,52,6.06137e+08
G,600,52,2.41371e+08
G,600,52,4.20061e+08
G,600,52,2.56076e+08
G,600,52,2.54125e+08
G,600,52,2.51116e+08
G,600,52,2.37406e+08
G,600,53,2.4918e+08
G,600,53,2.74606e+08
G,600,53,2.77547e+08
G,600,53,2.44249e+08
G,600,53,2.6876e+08
G,600,53,2.69041e+08
G,600,53,2.71181e+08
G,600,53,2.28333e+08
G,600,53,2.48127e+08
G,600,53,2.51227e+08
G,600,54,2.84928e+08
G,600,54,2.66538e+08
G,600,54,2.85919e+08
G,600,54,2.65427e+08
G,600,54,2.61554e+08
G,600,54,2.53255e+08
G,600,54,2.44189e+08
G,600,54,2.61128e+08
G,600,54,2.32435e+08
G,600,54,2.48229e+08
G,600,55,2.66346e+08
G,600,55,2.63952e+08
G,600,55,2.71562e+08
G,600,55,2.7318e+08
G,600,55,2.37438e+08
G,600,55,2.3966e+08
G,600,55,2.86368e+08
G,600,55,2.51953e+08
G,600,55,2.32496e+08
G,600,55,2.54471e+08
G,600,56,2.27619e+08
G,600,56,2.33929e+08
G,600,56,2.43441e+08
G,600,56,2.40413e+08
G,600,56,2.37279e+08
G,600,56,2.44e+08
G,600,56,2.36019e+08
G,600,56,2.38084e+08
G,600,56,2.47709e+08
G,600,56,2.37022e+08
G,600,57,2.59235e+08
G,600,57,2.39122e+08
G,600,57,2.4542e+08
G,600,57,2.41066e+08
G,600,57,2.43377e+08
G,600,57,2.44586e+08
G,600,57,2.45001e+08
G,600,57,2.467e+08
G,600,57,2.63077e+08
