Metodo,sizes,nroMatriz,tiempo
C,400,38,22691900
C,400,39,21067500
C,400,39,23369900
C,400,39,22674600
C,400,39,21329200
C,400,39,21552600
C,400,39,21378600
C,400,39,21498600
C,400,39,21370000
C,400,39,21387600
C,400,39,21493600
C,500,40,39186100
C,500,40,40247800
C,500,40,39810200
C,500,40,39450300
C,500,40,39405200
C,500,40,39320100
C,500,40,39597200
C,500,40,39456800
C,500,40,39541800
C,500,40,39935000
C,500,41,39476500
C,500,41,39802300
C,500,41,42488400
C,500,41,40065300
C,500,41,39504500
C,500,41,39422400
C,500,41,39448300
C,500,41,39615900
C,500,41,39514600
C,500,41,39574700
C,500,42,39050400
C,500,42,39615200
C,500,42,40242900
C,500,42,39632200
C,500,42,39578500
C,500,42,39366100
C,500,42,39589100
C,500,42,39473400
C,500,42,39418000
C,500,42,39381700
C,500,43,39280400
C,500,43,39518200
C,500,43,39595100
C,500,43,39498200
C,500,43,39854600
C,500,43,39835600
C,500,43,39450400
C,500,43,39534600
C,500,43,39386000
C,500,43,39753900
C,500,44,39125200
C,500,44,39434800
C,500,44,39279400
C,500,44,40079200
C,500,44,39448300
C,500,44,39583500
C,500,44,39620600
C,500,44,39679400
C,500,44,39544500
C,500,44,39412100
C,500,45,39370100
C,500,45,39380500
C,500,45,39612400
C,500,45,39412300
C,500,45,39490000
C,500,45,39370000
C,500,45,41984900
C,500,45,39600300
C,500,45,39666100
C,500,45,39420700
C,500,46,39709600
C,500,46,41717600
C,500,46,40486000
C,500,46,39966200
C,500,46,42642400
C,500,46,40133900
C,500,46,40298700
C,500,46,41615600
C,500,46,43762100
C,500,46,43472100
C,500,47,43023700
C,500,47,43361000
C,500,47,43663500
C,500,47,42306000
C,500,47,39388800
C,500,47,39600500
C,500,47,41463600
C,500,47,39581100
C,500,47,39362500
C,500,47,39309700
C,500,48,39250500
C,500,48,39577500
C,500,48,39570700
C,500,48,39090500
C,500,48,39587300
C,500,48,40032400
C,500,48,39559900
C,500,48,39457000
C,500,48,39113700
C,500,48,39583300
C,500,49,39195500
C,500,49,39750100
C,500,49,39421800
C,500,49,39430300
C,500,49,39742600
C,500,49,39240900
C,500,49,39476800
C,500,49,39253600
C,500,49,39623400
C,500,49,39830700
C,600,50,66377800
C,600,50,66565000
C,600,50,66901100
C,600,50,67378200
C,600,50,66613000
C,600,50,66691100
C,600,50,66962700
C,600,50,67275900
C,600,50,67047500
C,600,50,66715000
C,600,51,66756500
C,600,51,66499500
C,600,51,66062900
C,600,51,66381300
C,600,51,66124800
C,600,51,66135300
C,600,51,67174200
C,600,51,66229600
C,600,51,66138200
C,600,51,66037200
C,600,52,65660400
C,600,52,66246300
C,600,52,66566000
C,600,52,66183900
C,600,52,66197400
C,600,52,66128000
C,600,52,66338500
C,600,52,66165000
C,600,52,66146200
C,600,52,67010200
C,600,53,65950200
C,600,53,66146000
C,600,53,66422300
C,600,53,66606400
C,600,53,66215500
C,600,53,66345600
C,600,53,66325100
C,600,53,66179200
C,600,53,66404000
C,600,53,66336400
C,600,54,70037300
C,600,54,66383700
C,600,54,66031300
C,600,54,66129300
C,600,54,68366400
C,600,54,67144800
C,600,54,66693700
C,600,54,66524400
C,600,54,66311900
C,600,54,66748700
C,600,55,66414500
C,600,55,66250700
C,600,55,66284700
C,600,55,70011300
C,600,55,66393300
C,600,55,66032100
C,600,55,66175000
C,600,55,66060100
C,600,55,66518600
C,600,55,66187200
C,600,56,66108700
C,600,56,66190800
C,600,56,66401400
C,600,56,66412000
C,600,56,66227100
C,600,56,66296100
C,600,56,66806500
C,600,56,66657900
C,600,56,66065900
C,600,56,66032000
C,600,57,67104600
C,600,57,67233000
C,600,57,67010800
C,600,57,67356200
C,600,57,67468800
C,600,57,67315000
C,600,57,67345000
C,600,57,67941700
C,600,57,67034500
C,600,57,68037600
C,600,58,66877800
C,600,58,67661600
C,600,58,67600400
C,600,58,67831800
C,600,58,67285500
C,600,58,67562200
C,600,58,67374300
C,600,58,67132800
C,600,58,67175600
C,600,58,67752700
C,600,59,67757500
C,600,59,67830300
C,600,59,67358800
C,600,59,67425800
C,600,59,67408500
C,600,59,67459300
C,600,59,67682800
C,600,59,67496800
C,600,59,66898600
C,600,59,67564400
C,700,60,104673000
C,700,60,115884000
C,700,60,149116000
C,700,60,149210000
C,700,60,105319000
C,700,60,105783000
C,700,60,105039000
C,700,60,105032000
C,700,60,105583000
C,700,60,105255000
C,700,61,104876000
C,700,61,105682000
C,700,61,104965000
C,700,61,105537000
C,700,61,105450000
C,700,61,105388000
C,700,61,122306000
C,700,61,128952000
C,700,61,106316000
C,700,61,105233000
C,700,62,108108000
C,700,62,108283000
C,700,62,108163000
C,700,62,108351000
C,700,62,108830000
C,700,62,105379000
C,700,62,105560000
C,700,62,105343000
C,700,62,105865000
C,700,62,105419000
C,700,63,105255000
C,700,63,105126000
C,700,63,120223000
C,700,63,150319000
C,700,63,147123000
C,700,63,106563000
C,700,63,105240000
C,700,63,105237000
C,700,63,105291000
C,700,63,105119000
C,700,64,104895000
C,700,64,104907000
C,700,64,105594000
C,700,64,105565000
C,700,64,106346000
C,700,64,105027000
C,700,64,105597000
C,700,64,105445000
C,700,64,114145000
C,700,64,149389000
C,700,65,104807000
C,700,65,105494000
C,700,65,105335000
C,700,65,106159000
C,700,65,105394000
C,700,65,131492000
C,700,65,149549000
C,700,65,135646000
C,700,65,105111000
C,700,65,105556000
C,700,66,119110000
C,700,66,110490000
C,700,66,105382000
C,700,66,105305000
C,700,66,105630000
C,700,66,105082000
C,700,66,105649000
C,700,66,107453000
C,700,66,104839000
C,700,66,105555000
C,700,67,105743000
C,700,67,105930000
C,700,67,106084000
C,700,67,105235000
C,700,67,139522000
C,700,67,105500000
C,700,67,105923000
C,700,67,105193000
C,700,67,105873000
C,700,67,105585000
C,700,68,136370000
C,700,68,105143000
C,700,68,105582000
C,700,68,105006000
C,700,68,105121000
C,700,68,105899000
C,700,68,105673000
C,700,68,105013000
C,700,68,105461000
C,700,68,105877000
C,700,69,109407000
C,700,69,105364000
C,700,69,105438000
