Metodo,sizes,nroMatriz,tiempo
G,500,42,105271000
G,500,42,105298000
G,500,42,105500000
G,500,42,105322000
G,500,42,105414000
G,500,42,105272000
G,500,42,105385000
G,500,43,105414000
G,500,43,105615000
G,500,43,105349000
G,500,43,105332000
G,500,43,105477000
G,500,43,105331000
G,500,43,105333000
G,500,43,105324000
G,500,43,105340000
G,500,43,105403000
G,500,44,105330000
G,500,44,105402000
G,500,44,105240000
G,500,44,105377000
G,500,44,105384000
G,500,44,105306000
G,500,44,105385000
G,500,44,105343000
G,500,44,105383000
G,500,44,105297000
G,500,45,105700000
G,500,45,105407000
G,500,45,105338000
G,500,45,105394000
G,500,45,105284000
G,500,45,105409000
G,500,45,105383000
G,500,45,105300000
G,500,45,105269000
G,500,45,105216000
G,500,46,105323000
G,500,46,105223000
G,500,46,105271000
G,500,46,105219000
G,500,46,105196000
G,500,46,105501000
G,500,46,105215000
G,500,46,105395000
G,500,46,105272000
G,500,46,105361000
G,500,47,105534000
G,500,47,105206000
G,500,47,105284000
G,500,47,105181000
G,500,47,105417000
G,500,47,105208000
G,500,47,105183000
G,500,47,105447000
G,500,47,105329000
G,500,47,105302000
G,500,48,105245000
G,500,48,105292000
G,500,48,105203000
G,500,48,105272000
G,500,48,105318000
G,500,48,105170000
G,500,48,105306000
G,500,48,105294000
G,500,48,105449000
G,500,48,105504000
G,500,49,105260000
G,500,49,105332000
G,500,49,105242000
G,500,49,105353000
G,500,49,105150000
G,500,49,105266000
G,500,49,105302000
G,500,49,105285000
G,500,49,105249000
G,500,49,105243000
G,600,50,384577000
G,600,50,384157000
G,600,50,384052000
G,600,50,383981000
G,600,50,383883000
G,600,50,383888000
G,600,50,384122000
G,600,50,384088000
G,600,50,383719000
G,600,50,383968000
G,600,51,383774000
G,600,51,383815000
G,600,51,383850000
G,600,51,384133000
G,600,51,383804000
G,600,51,383792000
G,600,51,383872000
G,600,51,384045000
G,600,51,383903000
G,600,51,383790000
G,600,52,384082000
G,600,52,384009000
G,600,52,383887000
G,600,52,384036000
G,600,52,383928000
G,600,52,383743000
G,600,52,383998000
G,600,52,383942000
G,600,52,384977000
G,600,52,384484000
G,600,53,384348000
G,600,53,384366000
G,600,53,384282000
G,600,53,384669000
G,600,53,384650000
G,600,53,384285000
G,600,53,384028000
G,600,53,384226000
G,600,53,384257000
G,600,53,384437000
G,600,54,384158000
G,600,54,383834000
G,600,54,387231000
G,600,54,387157000
G,600,54,389455000
G,600,54,384155000
G,600,54,385089000
G,600,54,384527000
G,600,54,384395000
G,600,54,384610000
G,600,55,385243000
G,600,55,384358000
G,600,55,406102000
G,600,55,386645000
G,600,55,384594000
G,600,55,384797000
G,600,55,384874000
G,600,55,389103000
G,600,55,388351000
G,600,55,384789000
G,600,56,384439000
G,600,56,384450000
G,600,56,385320000
G,600,56,384247000
G,600,56,384507000
G,600,56,384365000
G,600,56,385778000
G,600,56,384312000
G,600,56,384295000
G,600,56,384132000
G,600,57,385775000
G,600,57,384823000
G,600,57,384159000
G,600,57,384099000
G,600,57,385338000
G,600,57,384362000
G,600,57,384639000
G,600,57,384163000
G,600,57,385217000
G,600,57,384592000
G,600,58,384325000
G,600,58,384407000
G,600,58,385108000
G,600,58,384373000
G,600,58,384155000
G,600,58,384486000
G,600,58,385172000
G,600,58,384701000
G,600,58,384207000
G,600,58,384277000
G,600,59,385423000
G,600,59,386057000
G,600,59,384838000
G,600,59,384681000
G,600,59,384702000
G,600,59,384129000
G,600,59,387566000
G,600,59,390645000
G,600,59,392228000
G,600,59,391999000
G,700,60,302264000
G,700,60,292233000
G,700,60,292200000
G,700,60,292364000
G,700,60,294999000
G,700,60,293426000
G,700,60,294699000
G,700,60,296697000
G,700,60,292805000
G,700,60,292178000
G,700,61,293547000
G,700,61,292841000
G,700,61,292641000
G,700,61,292265000
G,700,61,293049000
G,700,61,292760000
G,700,61,294613000
G,700,61,302283000
G,700,61,304881000
G,700,61,298510000
G,700,62,293689000
G,700,62,292498000
G,700,62,292232000
G,700,62,293673000
G,700,62,294998000
G,700,62,302028000
G,700,62,292331000
G,700,62,294462000
G,700,62,292151000
G,700,62,294010000
G,700,63,292868000
G,700,63,294082000
G,700,63,292766000
G,700,63,293251000
G,700,63,293943000
G,700,63,293707000
G,700,63,295946000
G,700,63,293454000
G,700,63,296108000
G,700,63,294560000
G,700,64,292619000
G,700,64,295350000
G,700,64,292330000
G,700,64,293039000
G,700,64,292655000
G,700,64,292417000
G,700,64,293791000
G,700,64,292903000
G,700,64,292744000
G,700,64,294283000
G,700,65,293068000
G,700,65,292435000
G,700,65,298652000
G,700,65,303856000
G,700,65,307534000
G,700,65,302767000
G,700,65,303133000
G,700,65,305550000
G,700,65,300420000
G,700,65,293971000
G,700,66,293290000
G,700,66,292110000
G,700,66,292088000
G,700,66,292197000
G,700,66,294957000
G,700,66,293371000
G,700,66,293308000
G,700,66,292351000
G,700,66,292715000
G,700,66,294241000
G,700,67,293026000
G,700,67,292302000
G,700,67,292194000
G,700,67,292338000
G,700,67,293950000
G,700,67,292193000
G,700,67,292169000
G,700,67,291851000
G,700,67,291819000
G,700,67,291955000
G,700,68,292466000
G,700,68,292462000
G,700,68,291976000
G,700,68,291999000
G,700,68,293553000
G,700,68,292831000
G,700,68,292384000
G,700,68,292196000
G,700,68,292177000
G,700,68,292780000
G,700,69,292165000
G,700,69,292231000
G,700,69,293700000
G,700,69,294660000
G,700,69,295119000
G,700,69,292533000
G,700,69,292104000
G,700,69,292067000
G,700,69,292459000
G,700,69,291928000
G,800,70,651698000
G,800,70,652434000
G,800,70,652116000
G,800,70,655329000
G,800,70,652858000
G,800,70,652052000
G,800,70,652381000
G,800,70,656043000
G,800,70,649748000
G,800,70,652758000
G,800,71,653242000
G,800,71,652073000
G,800,71,650546000
G,800,71,650398000
G,800,71,649551000
G,800,71,654008000
G,800,71,651804000
G,800,71,649885000
G,800,71,649822000
G,800,71,652251000
G,800,72,651087000
G,800,72,653875000
G,800,72,652556000
G,800,72,651234000
G,800,72,650729000
G,800,72,653460000
G,800,72,651861000
G,800,72,652528000
G,800,72,654745000
G,800,72,656162000
G,800,73,650507000
G,800,73,651105000
G,800,73,649086000
G,800,73,652737000
G,800,73,654176000
G,800,73,650175000
G,800,73,649243000
G,800,73,650766000
G,800,73,651058000
G,800,73,654496000
G,800,74,651795000
G,800,74,650337000
G,800,74,649468000
G,800,74,647327000
G,800,74,652378000
G,800,74,646903000
G,800,74,652071000
G,800,74,647347000
G,800,74,649188000
G,800,74,649896000
G,800,75,652007000
G,800,75,649000000
G,800,75,648498000
G,800,75,653848000
G,800,75,649503000
G,800,75,652610000
G,800,75,648508000
G,800,75,652266000
G,800,75,648874000
G,800,75,650298000
G,800,76,652585000
G,800,76,651116000
G,800,76,649768000
G,800,76,651703000
G,800,76,649187000
G,800,76,649823000
G,800,76,652262000
G,800,76,650229000
G,800,76,650439000
G,800,76,653428000
G,800,77,651323000
G,800,77,648400000
G,800,77,651339000
G,800,77,650779000
G,800,77,648634000
G,800,77,649041000
G,800,77,649006000
G,800,77,647871000
G,800,77,650577000
G,800,77,649756000
G,800,78,652627000
G,800,78,650247000
G,800,78,650178000
G,800,78,649599000
G,800,78,652904000
G,800,78,649952000
G,800,78,650575000
G,800,78,652299000
G,800,78,649406000
G,800,78,650030000
G,800,79,650640000
G,800,79,651163000
G,800,79,650127000
G,800,79,651097000
G,800,79,649588000
G,800,79,648945000
G,800,79,650300000
G,800,79,651302000
G,800,79,650595000
G,800,79,651442000
G,900,80,681387000
G,900,80,681430000
G,900,80,678438000
G,900,80,683982000
G,900,80,675978000
G,900,80,678897000
G,900,80,680892000
G,900,80,680811000
G,900,80,678913000
G,900,80,681535000
G,900,81,681258000
G,900,81,673330000
G,900,81,679200000
G,900,81,680810000
G,900,81,681669000
G,900,81,678749000
G,900,81,677610000
G,900,81,679527000
G,900,81,675622000
G,900,81,680234000
G,900,82,678486000
G,900,82,679911000
G,900,82,679995000
G,900,82,681787000
G,900,82,678862000
G,900,82,679630000
G,900,82,678941000
G,900,82,681953000
G,900,82,680860000
G,900,82,678875000
G,900,83,675107000
G,900,83,679226000
G,900,83,679040000
G,900,83,683408000
G,900,83,680592000
G,900,83,680536000
G,900,83,682305000
G,900,83,680263000
G,900,83,677022000
G,900,83,673380000
G,900,84,680388000
G,900,84,676257000
G,900,84,675675000
G,900,84,679163000
G,900,84,677510000
G,900,84,678208000
G,900,84,677200000
G,900,84,678675000
G,900,84,681089000
G,900,84,680425000
G,900,85,680696000
G,900,85,678136000
G,900,85,678395000
G,900,85,680211000
G,900,85,676539000
G,900,85,677457000
G,900,85,680422000
G,900,85,680429000
G,900,85,682518000
G,900,85,679381000
G,900,86,679558000
G,900,86,678035000
G,900,86,678641000
G,900,86,677251000
G,900,86,676831000
G,900,86,677960000
G,900,86,680221000
G,900,86,677958000
G,900,86,680871000
G,900,86,678256000
G,900,87,680792000
G,900,87,679831000
G,900,87,681053000
G,900,87,678220000
G,900,87,679764000
G,900,87,678949000
G,900,87,681129000
G,900,87,681148000
G,900,87,679985000
G,900,87,678718000
G,900,88,679055000
G,900,88,677322000
G,900,88,679110000
G,900,88,680336000
G,900,88,683684000
G,900,88,680215000
G,900,88,680679000
G,900,88,679504000
G,900,88,682365000
G,900,88,680646000
G,900,89,680303000
G,900,89,677235000
G,900,89,679038000
G,900,89,677458000
G,900,89,681526000
G,900,89,679357000
G,900,89,677636000
G,900,89,678878000
G,900,89,680070000
G,900,89,678221000
G,1000,90,972573000
G,1000,90,963468000
G,1000,90,959910000
G,1000,90,964748000
G,1000,90,963580000
G,1000,90,963617000
G,1000,90,967061000
G,1000,90,962110000
G,1000,90,964833000
G,1000,90,960641000
G,1000,91,966574000
G,1000,91,965691000
G,1000,91,963204000
G,1000,91,964306000
G,1000,91,962326000
G,1000,91,963567000
G,1000,91,960848000
G,1000,91,964359000
G,1000,91,962904000
G,1000,91,963544000
G,1000,92,966417000
G,1000,92,962383000
G,1000,92,964318000
G,1000,92,960679000
G,1000,92,965562000
G,1000,92,965056000
G,1000,92,964253000
G,1000,92,964315000
G,1000,92,962854000
G,1000,92,964674000
G,1000,93,961367000
G,1000,93,963369000
G,1000,93,963174000
G,1000,93,964174000
G,1000,93,966472000
G,1000,93,961527000
G,1000,93,964969000
G,1000,93,961596000
G,1000,93,966210000
G,1000,93,964935000
G,1000,94,963489000
G,1000,94,964077000
G,1000,94,963004000
G,1000,94,964029000
G,1000,94,961533000
G,1000,94,963509000
G,1000,94,966028000
G,1000,94,968495000
G,1000,94,966108000
G,1000,94,961439000
G,1000,95,965303000
G,1000,95,962504000
G,1000,95,967751000
G,1000,95,966393000
G,1000,95,964407000
G,1000,95,965907000
G,1000,95,962463000
G,1000,95,964550000
G,1000,95,960998000
G,1000,95,965672000
G,1000,96,964643000
G,1000,96,965215000
G,1000,96,963886000
G,1000,96,965411000
G,1000,96,963246000
G,1000,96,963771000
G,1000,96,965581000
G,1000,96,966770000
G,1000,96,964478000
G,1000,96,963973000
G,1000,97,963996000
G,1000,97,959832000
G,1000,97,966704000
G,1000,97,963940000
G,1000,97,966052000
G,1000,97,963576000
G,1000,97,964105000
G,1000,97,964669000
G,1000,97,960967000
G,1000,97,965891000
G,1000,98,964145000
G,1000,98,963403000
G,1000,98,963081000
G,1000,98,963603000
G,1000,98,967191000
G,1000,98,961037000
G,1000,98,963887000
G,1000,98,962242000
G,1000,98,964950000
G,1000,98,963893000
G,1000,99,965697000
G,1000,99,964637000
G,1000,99,960624000
G,1000,99,965809000
G,1000,99,964757000
G,1000,99,965792000
G,1000,99,964807000
G,1000,99,965816000
G,1000,99,964643000
G,1000,99,960435000
G,1100,100,1459710000
G,1100,100,1609150000
G,1100,100,1610250000
G,1100,100,1600530000
G,1100,100,1610580000
G,1100,100,1600640000
G,1100,100,1616590000
G,1100,100,1609120000
G,1100,100,1618440000
G,1100,100,1606310000
G,1100,101,1615340000
G,1100,101,1604080000
G,1100,101,1611690000
G,1100,101,1603260000
G,1100,101,1610470000
G,1100,101,1601760000
G,1100,101,1612980000
G,1100,101,1604410000
G,1100,101,1613680000
G,1100,101,1602950000
G,1100,102,1614120000
G,1100,102,1606510000
G,1100,102,1614970000
G,1100,102,1603440000
G,1100,102,1610470000
G,1100,102,1601260000
G,1100,102,1616590000
G,1100,102,1606330000
G,1100,102,1612540000
G,1100,102,1602470000
G,1100,103,1614620000
G,1100,103,1606350000
G,1100,103,1615010000
G,1100,103,1603970000
G,1100,103,1616270000
G,1100,103,1608270000
G,1100,103,1621340000
G,1100,103,1679520000
G,1100,103,1690880000
G,1100,103,1688680000
G,1100,104,1687170000
G,1100,104,1680340000
G,1100,104,1687650000
G,1100,104,1681490000
G,1100,104,1615080000
G,1100,104,1612810000
G,1100,104,1606450000
G,1100,104,1605140000
G,1100,104,1605260000
G,1100,104,1598980000
G,1100,105,1610530000
G,1100,105,1612530000
G,1100,105,1601220000
G,1100,105,1605320000
G,1100,105,1616520000
G,1100,105,1603170000
G,1100,105,1615320000
G,1100,105,1608680000
G,1100,105,1618430000
G,1100,105,1609870000
G,1100,106,1615220000
G,1100,106,1614520000
G,1100,106,1608840000
G,1100,106,1602710000
G,1100,106,1605080000
G,1100,106,1603450000
G,1100,106,1606370000
G,1100,106,1615500000
G,1100,106,1608030000
G,1100,106,1610180000
G,1100,107,1611570000
G,1100,107,1603240000
G,1100,107,1603650000
G,1100,107,1603330000
G,1100,107,1604900000
G,1100,107,1605100000
G,1100,107,1601980000
G,1100,107,1607690000
G,1100,107,1601160000
G,1100,107,1612710000
G,1100,108,1606550000
G,1100,108,1600510000
G,1100,108,1609410000
G,1100,108,1613000000
G,1100,108,1606940000
G,1100,108,1614770000
G,1100,108,1614700000
G,1100,108,1609480000
