CompPpal,MetodoEleccion,NroPersona,VerdaderosP,FalsosN,FalsosP
13,KNN,31,3,0,0
13,KNN,32,3,0,0
13,KNN,33,3,0,0
13,KNN,34,3,0,0
13,KNN,35,1,2,0
13,KNN,36,3,0,0
13,KNN,37,3,0,1
13,KNN,38,3,0,0
13,KNN,39,3,0,0
13,KNN,40,2,1,1
13,KNN,41,2,1,0
13,V,1,2,1,0
13,V,2,3,0,0
13,V,3,3,0,1
13,V,4,3,0,0
13,V,5,2,1,0
13,V,6,3,0,0
13,V,7,3,0,0
13,V,8,3,0,0
13,V,9,3,0,0
13,V,10,2,1,0
13,V,11,3,0,1
13,V,12,3,0,0
13,V,13,3,0,0
13,V,14,3,0,0
13,V,15,3,0,0
13,V,16,3,0,1
13,V,17,3,0,0
13,V,18,3,0,1
13,V,19,2,1,0
13,V,20,3,0,0
13,V,21,3,0,0
13,V,22,3,0,0
13,V,23,2,1,0
13,V,24,3,0,0
13,V,25,3,0,0
13,V,26,3,0,0
13,V,27,3,0,0
13,V,28,2,1,0
13,V,29,3,0,0
13,V,30,3,0,0
13,V,31,3,0,0
13,V,32,3,0,0
13,V,33,3,0,0
13,V,34,3,0,0
13,V,35,3,0,0
13,V,36,3,0,0
13,V,37,3,0,1
13,V,38,3,0,2
13,V,39,3,0,0
13,V,40,3,0,0
13,V,41,2,1,0
16,KNN,1,2,1,0
16,KNN,2,3,0,0
16,KNN,3,3,0,0
16,KNN,4,3,0,1
16,KNN,5,2,1,1
16,KNN,6,3,0,0
16,KNN,7,3,0,0
16,KNN,8,3,0,0
16,KNN,9,3,0,0
16,KNN,10,2,1,0
16,KNN,11,3,0,1
16,KNN,12,3,0,0
16,KNN,13,3,0,0
16,KNN,14,3,0,0
16,KNN,15,3,0,0
16,KNN,16,3,0,0
16,KNN,17,3,0,1
16,KNN,18,3,0,2
16,KNN,19,2,1,0
16,KNN,20,2,1,0
16,KNN,21,3,0,1
16,KNN,22,3,0,0
16,KNN,23,3,0,0
16,KNN,24,3,0,0
16,KNN,25,3,0,1
16,KNN,26,3,0,0
16,KNN,27,3,0,0
16,KNN,28,2,1,0
16,KNN,29,3,0,0
16,KNN,30,3,0,0
16,KNN,31,3,0,0
16,KNN,32,3,0,0
16,KNN,33,3,0,0
16,KNN,34,3,0,0
16,KNN,35,2,1,0
16,KNN,36,2,1,0
16,KNN,37,3,0,1
16,KNN,38,3,0,0
16,KNN,39,3,0,0
16,KNN,40,2,1,1
16,KNN,41,2,1,0
16,V,1,2,1,0
16,V,2,3,0,0
16,V,3,3,0,1
16,V,4,3,0,0
16,V,5,2,1,0
16,V,6,3,0,0
16,V,7,3,0,0
16,V,8,3,0,0
16,V,9,3,0,0
16,V,10,2,1,0
16,V,11,3,0,1
16,V,12,3,0,0
16,V,13,3,0,0
16,V,14,3,0,0
16,V,15,3,0,0
16,V,16,3,0,0
16,V,17,3,0,0
16,V,18,3,0,1
16,V,19,2,1,0
16,V,20,3,0,0
16,V,21,3,0,0
16,V,22,3,0,0
16,V,23,2,1,0
16,V,24,3,0,0
16,V,25,3,0,0
16,V,26,3,0,0
16,V,27,3,0,0
16,V,28,2,1,0
16,V,29,3,0,0
16,V,30,3,0,0
16,V,31,3,0,0
16,V,32,3,0,0
16,V,33,3,0,0
16,V,34,3,0,0
16,V,35,3,0,0
16,V,36,3,0,0
16,V,37,3,0,1
16,V,38,3,0,2
16,V,39,3,0,0
16,V,40,3,0,0
16,V,41,3,0,0
19,KNN,1,2,1,0
19,KNN,2,3,0,0
19,KNN,3,3,0,0
19,KNN,4,3,0,1
19,KNN,5,2,1,1
19,KNN,6,3,0,0
19,KNN,7,3,0,0
19,KNN,8,3,0,0
19,KNN,9,3,0,0
19,KNN,10,2,1,0
19,KNN,11,3,0,1
19,KNN,12,3,0,0
19,KNN,13,3,0,0
19,KNN,14,3,0,0
19,KNN,15,3,0,0
19,KNN,16,3,0,0
19,KNN,17,3,0,1
19,KNN,18,3,0,2
19,KNN,19,2,1,0
19,KNN,20,2,1,0
19,KNN,21,3,0,1
19,KNN,22,3,0,0
19,KNN,23,3,0,0
19,KNN,24,3,0,0
19,KNN,25,3,0,1
19,KNN,26,3,0,0
19,KNN,27,3,0,0
19,KNN,28,2,1,0
19,KNN,29,3,0,0
19,KNN,30,3,0,0
19,KNN,31,3,0,0
19,KNN,32,3,0,0
19,KNN,33,3,0,0
19,KNN,34,3,0,0
19,KNN,35,2,1,0
19,KNN,36,2,1,0
19,KNN,37,3,0,1
19,KNN,38,3,0,0
19,KNN,39,3,0,0
19,KNN,40,2,1,1
19,KNN,41,2,1,0
19,V,1,2,1,0
19,V,2,3,0,0
19,V,3,3,0,1
19,V,4,3,0,0
19,V,5,2,1,0
19,V,6,3,0,0
19,V,7,3,0,0
19,V,8,3,0,0
19,V,9,3,0,0
19,V,10,2,1,0
19,V,11,3,0,1
19,V,12,3,0,0
19,V,13,3,0,0
19,V,14,3,0,0
19,V,15,3,0,0
19,V,16,2,1,0
19,V,17,3,0,0
19,V,18,3,0,1
19,V,19,2,1,0
19,V,20,3,0,0
19,V,21,3,0,0
19,V,22,3,0,0
19,V,23,2,1,0
19,V,24,3,0,0
19,V,25,3,0,0
19,V,26,3,0,0
19,V,27,3,0,0
19,V,28,2,1,0
19,V,29,3,0,0
19,V,30,3,0,0
19,V,31,3,0,0
19,V,32,3,0,0
19,V,33,3,0,0
19,V,34,3,0,0
19,V,35,3,0,0
19,V,36,3,0,0
19,V,37,3,0,1
19,V,38,3,0,2
19,V,39,3,0,0
19,V,40,3,0,0
19,V,41,3,0,1
22,KNN,1,2,1,0
22,KNN,2,3,0,1
22,KNN,3,3,0,0
22,KNN,4,3,0,1
22,KNN,5,2,1,1
22,KNN,6,3,0,0
22,KNN,7,3,0,0
22,KNN,8,3,0,0
22,KNN,9,3,0,0
22,KNN,10,2,1,0
22,KNN,11,3,0,0
22,KNN,12,3,0,0
22,KNN,13,3,0,0
22,KNN,14,3,0,0
22,KNN,15,3,0,0
22,KNN,16,3,0,0
22,KNN,17,3,0,1
22,KNN,18,3,0,2
22,KNN,19,2,1,0
22,KNN,20,2,1,0
22,KNN,21,3,0,1
22,KNN,22,3,0,0
22,KNN,23,3,0,0
22,KNN,24,3,0,0
22,KNN,25,3,0,1
22,KNN,26,3,0,0
22,KNN,27,3,0,0
22,KNN,28,2,1,0
22,KNN,29,3,0,0
22,KNN,30,3,0,0
22,KNN,31,3,0,0
22,KNN,32,3,0,0
22,KNN,33,3,0,0
22,KNN,34,3,0,0
22,KNN,35,2,1,0
22,KNN,36,2,1,0
22,KNN,37,3,0,1
22,KNN,38,3,0,0
22,KNN,39,3,0,0
22,KNN,40,2,1,1
22,KNN,41,2,1,0
22,V,1,2,1,0
22,V,2,3,0,0
22,V,3,3,0,1
22,V,4,3,0,0
22,V,5,2,1,0
22,V,6,3,0,0
22,V,7,3,0,0
22,V,8,3,0,0
22,V,9,3,0,0
22,V,10,2,1,0
22,V,11,3,0,1
22,V,12,3,0,0
22,V,13,3,0,0
22,V,14,3,0,0
22,V,15,3,0,0
22,V,16,3,0,0
22,V,17,3,0,0
22,V,18,3,0,0
22,V,19,2,1,0
22,V,20,3,0,0
22,V,21,3,0,0
22,V,22,3,0,0
22,V,23,2,1,0
22,V,24,3,0,0
22,V,25,3,0,0
22,V,26,3,0,0
22,V,27,3,0,0
22,V,28,2,1,0
22,V,29,3,0,0
22,V,30,3,0,0
22,V,31,3,0,0
22,V,32,3,0,0
22,V,33,3,0,0
22,V,34,3,0,0
22,V,35,3,0,0
22,V,36,3,0,0
22,V,37,3,0,1
22,V,38,3,0,2
22,V,39,3,0,0
22,V,40,3,0,1
22,V,41,3,0,0
25,KNN,1,2,1,0
25,KNN,2,3,0,0
25,KNN,3,3,0,0
25,KNN,4,3,0,1
25,KNN,5,2,1,1
25,KNN,6,3,0,0
25,KNN,7,3,0,0
25,KNN,8,3,0,0
25,KNN,9,3,0,0
25,KNN,10,2,1,0
25,KNN,11,3,0,1
25,KNN,12,3,0,0
25,KNN,13,3,0,0
25,KNN,14,3,0,0
25,KNN,15,3,0,0
25,KNN,16,3,0,0
25,KNN,17,3,0,1
25,KNN,18,3,0,2
25,KNN,19,2,1,0
25,KNN,20,3,0,0
25,KNN,21,3,0,0
25,KNN,22,3,0,0
25,KNN,23,3,0,0
25,KNN,24,3,0,0
25,KNN,25,3,0,1
25,KNN,26,3,0,0
25,KNN,27,3,0,0
25,KNN,28,2,1,0
25,KNN,29,3,0,0
25,KNN,30,3,0,0
25,KNN,31,3,0,0
25,KNN,32,3,0,0
25,KNN,33,3,0,0
25,KNN,34,3,0,0
25,KNN,35,2,1,0
25,KNN,36,2,1,0
25,KNN,37,3,0,1
25,KNN,38,3,0,0
25,KNN,39,3,0,0
25,KNN,40,2,1,1
25,KNN,41,2,1,0
25,V,1,2,1,0
25,V,2,3,0,0
25,V,3,3,0,0
25,V,4,3,0,1
25,V,5,2,1,0
25,V,6,3,0,0
25,V,7,3,0,0
25,V,8,3,0,0
25,V,9,3,0,0
25,V,10,2,1,0
25,V,11,3,0,1
25,V,12,3,0,0
25,V,13,3,0,0
25,V,14,3,0,0
25,V,15,3,0,0
25,V,16,2,1,0
25,V,17,3,0,0
25,V,18,3,0,0
25,V,19,2,1,0
25,V,20,3,0,0
25,V,21,3,0,0
25,V,22,3,0,0
25,V,23,2,1,0
25,V,24,3,0,0
25,V,25,3,0,1
25,V,26,3,0,0
25,V,27,3,0,0
25,V,28,2,1,0
25,V,29,3,0,0
25,V,30,3,0,0
25,V,31,3,0,0
25,V,32,3,0,0
25,V,33,3,0,0
25,V,34,3,0,0
25,V,35,3,0,0
25,V,36,3,0,0
25,V,37,3,0,1
25,V,38,3,0,2
25,V,39,3,0,0
25,V,40,3,0,1
25,V,41,3,0,0
28,KNN,1,2,1,0
28,KNN,2,3,0,0
28,KNN,3,3,0,0
28,KNN,4,3,0,1
28,KNN,5,2,1,1
28,KNN,6,3,0,0
28,KNN,7,3,0,0
28,KNN,8,3,0,0
28,KNN,9,3,0,0
28,KNN,10,2,1,0
28,KNN,11,3,0,1
28,KNN,12,3,0,0
28,KNN,13,3,0,0
28,KNN,14,3,0,0
28,KNN,15,3,0,0
28,KNN,16,3,0,0
28,KNN,17,3,0,2
28,KNN,18,3,0,1
28,KNN,19,2,1,0
28,KNN,20,3,0,0
28,KNN,21,3,0,0
28,KNN,22,3,0,0
28,KNN,23,3,0,0
28,KNN,24,3,0,0
28,KNN,25,3,0,1
28,KNN,26,3,0,0
28,KNN,27,3,0,0
28,KNN,28,2,1,0
28,KNN,29,3,0,0
28,KNN,30,3,0,0
28,KNN,31,3,0,0
28,KNN,32,3,0,0
28,KNN,33,3,0,0
28,KNN,34,3,0,0
28,KNN,35,2,1,0
28,KNN,36,2,1,0
28,KNN,37,3,0,1
28,KNN,38,3,0,0
28,KNN,39,3,0,0
28,KNN,40,2,1,1
28,KNN,41,2,1,0
28,V,1,2,1,0
28,V,2,3,0,0
28,V,3,3,0,1
28,V,4,3,0,1
28,V,5,2,1,0
28,V,6,3,0,0
28,V,7,3,0,0
28,V,8,3,0,0
28,V,9,3,0,0
28,V,10,2,1,0
28,V,11,3,0,1
28,V,12,3,0,0
28,V,13,3,0,0
28,V,14,3,0,0
28,V,15,3,0,0
28,V,16,2,1,0
28,V,17,3,0,0
28,V,18,3,0,0
28,V,19,2,1,0
28,V,20,3,0,0
28,V,21,3,0,0
28,V,22,3,0,0
28,V,23,2,1,0
28,V,24,3,0,0
28,V,25,3,0,0
28,V,26,3,0,0
28,V,27,3,0,0
28,V,28,2,1,0
28,V,29,3,0,0
28,V,30,3,0,0
28,V,31,3,0,0
28,V,32,3,0,0
28,V,33,3,0,0
28,V,34,3,0,0
28,V,35,3,0,0
28,V,36,3,0,0
28,V,37,3,0,1
28,V,38,3,0,2
28,V,39,3,0,0
28,V,40,3,0,1
28,V,41,3,0,0
31,KNN,1,2,1,0
31,KNN,2,3,0,0
31,KNN,3,3,0,0
31,KNN,4,3,0,0
31,KNN,5,2,1,2
31,KNN,6,3,0,0
31,KNN,7,3,0,0
31,KNN,8,3,0,1
31,KNN,9,3,0,0
31,KNN,10,2,1,0
31,KNN,11,3,0,1
31,KNN,12,3,0,0
31,KNN,13,3,0,0
31,KNN,14,3,0,0
31,KNN,15,3,0,0
31,KNN,16,3,0,0
31,KNN,17,3,0,2
31,KNN,18,3,0,1
31,KNN,19,2,1,0
31,KNN,20,3,0,0
31,KNN,21,3,0,0
31,KNN,22,3,0,0
31,KNN,23,3,0,0
31,KNN,24,3,0,0
31,KNN,25,2,1,1
31,KNN,26,3,0,0
31,KNN,27,3,0,0
31,KNN,28,2,1,0
31,KNN,29,3,0,0
31,KNN,30,3,0,0
31,KNN,31,3,0,0
31,KNN,32,3,0,0
31,KNN,33,3,0,0
31,KNN,34,3,0,0
31,KNN,35,2,1,0
31,KNN,36,2,1,0
31,KNN,37,3,0,1
31,KNN,38,3,0,0
31,KNN,39,3,0,0
31,KNN,40,2,1,1
31,KNN,41,2,1,0
31,V,1,2,1,0
31,V,2,3,0,0
31,V,3,3,0,1
31,V,4,3,0,0
31,V,5,2,1,0
31,V,6,3,0,0
31,V,7,3,0,0
31,V,8,3,0,0
31,V,9,3,0,0
31,V,10,2,1,0
31,V,11,3,0,1
31,V,12,3,0,0
31,V,13,3,0,0
31,V,14,3,0,0
31,V,15,3,0,0
31,V,16,3,0,0
31,V,17,3,0,0
31,V,18,3,0,0
31,V,19,2,1,0
31,V,20,3,0,0
31,V,21,3,0,0
31,V,22,3,0,0
31,V,23,2,1,0
31,V,24,3,0,0
31,V,25,3,0,0
31,V,26,3,0,0
31,V,27,3,0,0
31,V,28,2,1,0
31,V,29,3,0,0
31,V,30,3,0,0
31,V,31,3,0,0
31,V,32,3,0,0
31,V,33,3,0,0
31,V,34,3,0,0
31,V,35,3,0,0
31,V,36,3,0,0
31,V,37,3,0,1
31,V,38,3,0,2
31,V,39,3,0,0
31,V,40,3,0,1
31,V,41,3,0,0
34,KNN,1,2,1,0
34,KNN,2,3,0,0
34,KNN,3,3,0,0
34,KNN,4,3,0,1
34,KNN,5,2,1,2
34,KNN,6,3,0,0
34,KNN,7,3,0,0
34,KNN,8,3,0,0
34,KNN,9,3,0,0
34,KNN,10,2,1,0
34,KNN,11,3,0,1
34,KNN,12,3,0,0
34,KNN,13,3,0,0
34,KNN,14,3,0,0
34,KNN,15,3,0,0
34,KNN,16,3,0,0
34,KNN,17,3,0,2
34,KNN,18,3,0,1
34,KNN,19,2,1,0
34,KNN,20,3,0,0
34,KNN,21,3,0,0
34,KNN,22,3,0,0
34,KNN,23,3,0,0
34,KNN,24,3,0,0
34,KNN,25,2,1,1
34,KNN,26,3,0,0
34,KNN,27,3,0,0
34,KNN,28,2,1,0
34,KNN,29,3,0,0
34,KNN,30,3,0,0
34,KNN,31,3,0,0
34,KNN,32,3,0,0
34,KNN,33,3,0,0
34,KNN,34,3,0,0
34,KNN,35,2,1,0
34,KNN,36,2,1,0
34,KNN,37,3,0,1
34,KNN,38,3,0,0
34,KNN,39,3,0,0
34,KNN,40,2,1,1
34,KNN,41,2,1,0
34,V,1,2,1,0
34,V,2,3,0,0
34,V,3,3,0,1
34,V,4,3,0,0
34,V,5,2,1,0
34,V,6,3,0,0
34,V,7,3,0,0
34,V,8,3,0,0
34,V,9,3,0,0
34,V,10,2,1,0
34,V,11,3,0,0
34,V,12,3,0,0
34,V,13,3,0,0
34,V,14,3,0,0
34,V,15,3,0,0
34,V,16,3,0,0
34,V,17,3,0,0
34,V,18,3,0,0
34,V,19,2,1,0
34,V,20,3,0,0
34,V,21,3,0,0
34,V,22,3,0,0
34,V,23,2,1,0
34,V,24,3,0,0
34,V,25,3,0,0
34,V,26,3,0,0
34,V,27,3,0,1
34,V,28,2,1,0
34,V,29,3,0,0
34,V,30,3,0,0
34,V,31,3,0,0
34,V,32,3,0,0
34,V,33,3,0,0
34,V,34,3,0,0
34,V,35,3,0,0
34,V,36,3,0,0
34,V,37,3,0,1
34,V,38,3,0,2
34,V,39,3,0,0
34,V,40,3,0,1
34,V,41,3,0,0
37,KNN,1,2,1,0
37,KNN,2,3,0,0
37,KNN,3,3,0,0
37,KNN,4,3,0,1
37,KNN,5,2,1,2
37,KNN,6,3,0,0
37,KNN,7,3,0,0
37,KNN,8,3,0,0
37,KNN,9,3,0,0
37,KNN,10,2,1,0
